GeneID	logFC
MMP14	-17.21650188
CCDC80	-17.02577233
RARRES2	-14.0305091
KRT7	-13.08641886
CPLX1	16.81853557
MT1E	-13.83211851
TM4SF1	-16.6634307
SERPINE1	-16.65315232
IGFBP7	-12.76778132
IL8	-16.54920475
KIF1A	16.54304917
TGFBI	-11.36034264
ANXA1	-16.26543414
RBP3	16.16046945
CD44	-11.86671984
THBS1	-12.43977937
RAX2	13.12868868
NES	15.73376448
EFEMP1	-12.10889059
COL12A1	-15.71219778
AMER2	15.70152475
SPON2	11.75424228
OLFM1	15.6463033
PPP1R27	12.93070665
MSN	-11.35430094
CCND1	-11.19972907
CPLX2	15.50401233
DIO2	-11.67810765
CTGF	-15.46072948
NT5E	-15.3771292
DKK1	-12.42058442
GSG1	15.35011771
UBASH3B	-15.32269223
IFIT2	-15.25674113
CELF3	15.18812708
NEAT1	-10.25598998
EEF1A2	11.78853689
NEUROD1	15.05823804
ASS1	15.05711433
INSM1	15.02911548
MYCN	15.01104606
RPS4Y1	-14.91356163
LGALS1	-10.04241233
INA	14.83166555
ADAMTS1	-14.7833768
AIPL1	12.07243556
NPTX1	14.65427987
KIF26A	14.63281832
WFIKKN2	14.60898929
LOX	-9.678547627
IFIT3	-14.58609251
CRMP1	14.53827052
S100A10	-11.55323104
SERPINB2	-14.48276559
C8orf46	14.43478377
COL8A1	-10.79435694
TSPO	-11.44053931
CPLX3	14.37711802
RLTPR	14.36506089
LAMA4	-14.34742747
CA9	-9.566469488
GJA1	-14.31422699
FBLN1	11.60782554
TRIP6	-11.34768959
ADD2	14.29815173
FSTL3	-11.32413747
PAX6	-14.2733508
TFPI	-14.26428606
MDFI	14.25175702
VIM	-9.110920144
IGSF9	14.22532256
IGFBP4	11.49764705
PPP1R14A	11.48427188
SALL3	14.1813059
EGFR	-10.14938865
LHX3	10.21824021
OAF	-10.08565314
CTSL	-11.14706791
MSI1	14.09560885
TFF1	14.09195574
COL11A1	-14.08026045
DKK3	-9.113779434
HMX1	14.0683542
RS1	14.05340473
C3	-10.35827315
KCNK12	13.94499256
RXRG	13.94174893
CD68	-10.97467619
F3	-9.693802253
IFITM10	-13.85940028
NR2F2	-10.23764857
IGFBP3	-9.653377912
COL6A2	11.13783027
SOX11	13.84088549
SPOCK1	-13.83151277
SLC17A7	13.83127688
KRT8	-8.799202742
KRT18	-9.772616924
FOXF2	-13.80012698
CACNA1H	13.78315624
CYR61	-8.725972468
GPRIN3	13.76032272
GLIPR1	-13.75211115
TBC1D2	-13.7505846
FAT1	-10.7939721
CTSZ	-9.507365395
OXTR	-9.035613412
ATL3	-13.66970002
EMC10	-9.429596013
KIF21B	9.060329331
FLNC	-8.545355944
KRT80	-13.59510998
INSM2	9.462637808
SLC1A7	13.55169089
SALL1	13.54529366
CHRNB2	9.627200331
HPS1	-13.52719104
LPPR3	13.49195976
NPTX2	13.486405
PSG4	-10.52492578
TMEM47	-13.47822417
CACNG4	13.45603402
KRTAP2-3	-13.43420866
EGFLAM	13.42733102
KCNH2	13.42268508
PCSK1N	13.42268508
MIR4435-1HG	-13.39761297
HIVEP2	-13.37599381
ADAMTS12	-13.37004102
PELO	-13.35906335
EFS	13.35602025
SOD3	-9.321685725
PRSS23	-8.23730849
RHBDL3	13.31649571
PARP12	-13.29662307
PITX1	13.28484564
MYOF	-8.596071184
KCNJ4	13.27069658
ATP1B2	10.56583217
IL13RA2	-13.26382441
RNF26	-9.229363127
SPTBN2	10.55256463
RND3	-8.494923101
IGF2BP1	10.54330741
LINC00152	-13.23790969
FOSL1	-8.422735264
ITGA6	-13.22807039
EYA2	13.22606464
ISL2	13.21670178
KCNH6	13.21670178
RIMS4	13.21670178
PTRF	-8.530471748
NEUROD4	13.21267045
ALPK3	13.20727776
STMN3	8.346867656
NGFR	13.18687372
GADD45G	9.822264003
SYP	8.3520072
SLFN5	-9.384513968
KCNK3	13.15641592
LINC00599	13.15361488
GPNMB	-8.217878753
CDHR1	9.795776924
L1CAM	9.235525232
ELFN1	8.808448135
HSD17B2	-13.11516306
CASKIN1	9.75937189
MCF2L	13.11525867
EPPK1	8.789874712
MARCKS	13.10078983
HPCA	10.37726133
MATK	10.37494396
LRP4	13.06396984
OSMR	-13.05583122
DPYSL5	13.0459568
ANXA3	-13.02837751
LYPD2	13.02311955
PLAUR	-8.817258255
DDX3Y	-12.99781989
HIST1H2BK	-12.99007827
APCDD1L	-8.658628943
FAM111B	-12.98359504
CRLF1	12.98107878
ANKRD1	-10.02686993
PTX3	-12.97708254
UBB	-7.957780363
LAMB3	-12.97185128
PLCH2	8.647729866
IMPG2	12.97156765
TIMP1	-8.242773333
LTBR	-9.175876045
PROM1	12.95557508
PPP1R1B	9.04157175
GDF15	12.94265215
IFIT1	-9.988482585
TP73	8.410180755
GAREML	12.91645375
CAV1	-9.960883298
PDLIM4	-12.9116543
SSTR5	12.891453
AMIGO2	-12.88546379
ARRDC4	-12.87849179
NEFM	12.87113571
APOL2	-12.86867404
COL4A4	-9.905162771
CRABP1	12.85570774
GJD2	12.85398329
RSPO1	12.840113
MFAP4	8.370615287
PGF	12.82962206
CAV2	-12.82872096
YAP1	-8.248319668
PDE6H	12.82610806
AIF1L	12.82434785
S100A11	-12.81855738
FGF5	-9.194195688
CHRD	10.10542735
GRIK3	12.79768361
EVPL	8.568667746
FBXO32	-8.758050077
PTPRN	8.314944578
EPHA8	10.06431055
PHF21B	8.253859581
CHGB	10.05130817
COL5A2	-12.74992545
DLGAP3	9.394534709
SULT4A1	10.04111357
KCNB1	12.744692
MAL2	-9.116253845
MGAT3	10.02937369
DAB2	-9.762429566
IGFBP6	-8.688299368
RAB32	-12.70491697
EMP1	-8.125715975
VGLL3	-8.91615708
ATP6V1G2-DDX39B	12.68580707
MEX3A	7.872909055
ELOVL2	12.67021259
HUNK	12.67021259
SYK	12.66628749
GRM6	9.961495398
ARHGAP35	-12.66008615
AQP1	12.66037975
WSCD1	7.907668452
BCAN	12.64650019
CACNA1F	12.64650019
FAM111A	-12.64537527
DUSP26	9.939709363
SOGA3	8.735997492
SPINT2	-8.047016318
CSPG4	7.797949362
BMP4	-12.61213723
BDNF	-8.992485528
MAGEA3	12.59993232
TNFAIP3	-8.259247281
DTX1	12.58545589
IFITM3	-7.798335945
CD55	-8.065176485
SH3RF2	-12.56948299
FXYD6	12.56873154
SCG3	12.56873154
CACNA1G	7.816658907
CCDC64	12.56029609
RP11-572C15.6	-8.776845203
CPXM1	12.5581795
LDOC1	-9.605380644
XKR7	8.646906689
VANGL2	8.327922881
COL27A1	8.143695951
LRFN1	8.436680087
SP9	12.52171407
FAM89A	12.51954007
TULP1	12.51954007
RTN4RL1	12.51736279
FOLR3	-9.563646653
MFNG	12.50422964
RUNX1	-9.540884839
ABCC3	-8.876376467
CHD7	9.129334949
CHGA	9.778988803
KCNC1	12.47759914
DBNDD1	-12.4690982
WWTR1	-7.888154374
IL18	-12.46165333
SEZ6	8.234821463
CYP24A1	-12.45416985
ZNF467	8.195830832
AOX1	-12.39677105
RCVRN	8.303702693
TAGLN3	12.3898721
CDH23	9.684840583
PACSIN1	9.016794533
LINGO1	12.36828929
VAMP5	-8.583346325
SLIT1	9.008864244
FAM19A5	9.658406931
CKMT1B	12.35615784
GBP1	-9.394627706
4-Mar	-8.313594933
ACSL6	8.421287912
LAYN	-8.546032394
UBR3	-12.31650445
TJP3	12.31413076
CLIC6	-12.3061497
CKB	7.194126239
ADAM11	8.945464806
PDE9A	12.29900044
GATA6	-8.67775687
INHBE	9.592119398
THRB	7.744428899
NEFL	12.29137536
PREX1	7.695446417
BAI1	12.27857664
TMBIM1	-7.421317966
AMER3	12.26306678
VWA1	12.26306678
NOV	-8.480189193
CRX	7.471690264
HEYL	12.2394848
ITGA1	-12.23369473
SP100	-8.620301368
SHD	8.879150695
CKMT1A	12.2288789
PNMT	12.22354657
GRM4	12.220873
STXBP6	-12.21831491
AANAT	7.82244279
ANXA2	-7.060514766
KCNQ2	12.20472666
CHRNA3	7.798399373
ST8SIA3	12.19113195
CARD6	-9.233628447
FLT4	12.18565799
SRRM3	8.833184943
AQP3	12.17188154
FAM83G	-7.822282603
RP11-359E10.1	-12.14118796
MTSS1	12.12403244
ZIC5	12.12403244
KIRREL2	12.11829736
MTAP	-12.11295138
CHST8	12.11253939
FABP5	-8.085762502
IGFBPL1	12.10675835
LRRN2	8.751896602
EHD2	-7.422110649
GNAO1	12.09220357
SERPING1	-12.09140525
ACSL5	-9.140180368
FBN2	-7.891167791
IGFBP2	7.62783584
ARID5B	-7.575506282
ELL2	-7.640182837
TUBA1C	-7.004100003
MYL9	-12.05476415
SLC29A4	7.069626926
ATP1A3	6.971074364
NGFRAP1	-7.860484411
CYP1B1	-12.0498076
RBFOX3	7.828474589
GAS8	-12.04732292
TPD52L1	-12.04732292
AXL	-7.037876613
SHANK1	12.03551623
UNC13A	7.943470068
CRABP2	6.898403722
CNTFR	8.128018314
TGFBR2	-9.074339938
DOCK1	-12.01716816
COL4A3	-8.388139447
ABLIM3	-11.99928234
PDZD4	8.093696276
FBN1	-7.109770304
FAM43A	11.99540561
MAGEA2	11.99540561
KCNC3	11.97015615
PTPRK	-7.253264549
SYT2	11.9605725
CCL2	-11.95754814
SLC1A2	8.606028133
FSCN1	6.889627408
GPR143	-11.94692319
NHSL1	11.94769445
FZD10	11.93143354
MPPED1	11.9248775
TRIM22	-7.727489289
MT1B	-11.91457061
NRP1	-8.961030186
SHANK3	11.90502873
SLC16A3	-6.819914691
INHBA	-8.939436983
KIAA1462	11.88152132
OSR1	-8.928517962
CECR6	11.87473396
STARD13	-11.87027337
KCNT1	11.87132826
HAP1	11.86449266
CASP4	-11.85898323
MAGEA6	11.85417815
TMEM179	11.85072352
SLITRK4	-11.84474516
KCNV2	7.625966161
CBLN1	11.84378936
ASPH	-6.733654155
ATP2B3	11.83332522
SSTR2	11.83332522
F10	11.82982024
VSTM2L	8.467075733
ARHGEF5	-11.81291782
SUCO	-11.81291782
IL7R	-11.8099893
SLCO3A1	-11.80116792
SLC38A3	11.80146955
GBP3	-11.79525689
SNCB	11.79788622
ANO6	-7.221097954
KRT9	11.78708251
MAPK4	11.78346322
FHDC1	11.77983483
RCOR2	11.77983483
KRT31	-11.77737707
PNMAL1	9.074504402
TMEM50A	-11.76533289
ISG15	-7.191061649
SDK2	7.856625313
ALCAM	-6.758099409
CCS	-8.80500579
FSTL5	11.75417731
TOX	-8.797823865
HAND1	11.74676199
TFPI2	-7.421816724
CLDN1	-8.785773964
MAGEA12	11.71671359
RUNDC3A	11.71291315
NDN	11.67825103
NKAIN1	11.67434777
PEG3	11.67434777
AP3B2	7.764657345
CMTM7	-8.713827334
CCDC88C	6.733191776
TGFB2	-7.469959401
MAK	8.958577964
GNL1	7.438270361
CRIM1	-6.599114201
SERPINB7	-11.648882
PLCB4	-8.031858568
YBX2	11.64672518
MT1F	-11.6423114
PKD2	-11.6423114
SUSD2	7.006845844
DLL3	11.63873489
CPXM2	-11.63571073
PAPSS2	-6.836815822
CADM3	11.63472309
BHLHE23	11.62262031
PCDHGB4	-11.61907573
RAB34	-6.90741819
AC092198.1	11.61856338
IBTK	-11.61572558
SV2B	11.61449502
SAMD14	8.247425471
FN1	-6.569471926
PTPRN2	7.376024774
NTNG1	-11.59205419
LIF	-7.081029045
TFCP2L1	11.58152833
CCBE1	-7.965883948
PDLIM2	-6.825394531
ITGB5	-6.511228949
FAM21B	-11.56103746
TNFRSF10A	-11.55754963
KCNMA1	-6.53848352
KIAA1217	-7.233076808
LRRC8E	-7.530876279
GPC2	6.639513488
PCDH7	-6.657729157
NYNRIN	11.53493285
RGS4	-7.920162793
LGI2	11.53062131
FRMPD1	8.178398752
PFKFB3	-6.952832314
IGSF21	11.52195939
PLA2G16	-7.735458578
DOC2B	11.50007428
ESRRG	11.50007428
RD3	11.50007428
NAV3	-7.721051984
RP11-834C11.4	11.49565714
ALDH3B1	-6.748475761
SERPINA1	-11.48962656
CFLAR	-6.543178011
WBSCR17	-8.535335134
FAM57B	6.57703492
ALS2CL	-6.806307704
RP11-503G7.1	11.48232398
HHIPL1	-7.05904249
CPQ	-8.523773558
KRT13	-8.523773558
MYO1E	-6.579137907
CTSD	-6.311053447
CDH11	-6.846178146
S100A1	7.151882141
BIRC3	-8.515041164
IGSF11	11.46435256
TPBGL	11.46435256
AEBP1	7.071765378
COL4A5	-11.4563011
NTN3	8.111838362
GABRB3	7.368029366
NOTCH2	-6.43642787
DNASE2	-7.131336256
MAF	-8.49741619
GNB3	6.357041687
NOS1AP	6.994819071
ITGA3	-6.299690832
DRD2	11.43696858
ZNF423	11.43696858
ARAP2	-11.4298384
KRT33B	-11.42218761
RRAS	-6.745461466
NRN1	11.40434948
TMEM151B	7.014095502
AKR1C3	-11.39898874
GALNT10	-6.376345767
CALD1	-6.673045638
HS3ST3A1	-6.522128312
CBFA2T3	11.38537343
TNC	6.544922709
ALDH2	-6.744607761
PAG1	-11.36347563
CACNG5	11.36129689
ITGB4	-6.644882982
ABCC6	8.649064339
MET	-7.029335228
MOXD1	-11.33523698
SFT2D1	-11.33523698
QPRT	6.429388982
CYBA	-6.476074358
RRAD	6.568675378
GDAP1L1	11.33681172
NEXN	-8.380494251
ALPL	11.32690009
ACKR3	-6.646284842
GPR27	11.31691991
KIF12	11.31691991
FOXP1	-11.30643454
POU4F2	7.948971974
TP53I11	6.278610158
IER3	-6.360822614
TUSC1	-6.369197878
MYOG	11.28655829
