seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	569781	570078	298	*	ARPE19_peak_2	11483	.	40.3104	1155.13318	1148.35693	123	Distal Intergenic	1	621096	622034	939	2	729759	uc010nxv.2	51956	ENSG00000284733	OR4F29	olfactory receptor family 4 subfamily F member 29
chr1	713937	714394	458	*	ARPE19_peak_3	151	.	6.31134	18.48342	15.12535	176	Promoter	1	700245	714068	13824	2	100288069	uc001abo.3	0	NA	LOC100288069	uncharacterized LOC100288069
chr1	757205	757438	234	*	ARPE19_peak_5	30	.	3.11419	5.529	3.08564	92	Distal Intergenic	1	761586	762902	1317	2	79854	uc010nxx.2	5464	ENSG00000225880	LINC00115	long intergenic non-protein coding RNA 115
chr1	1015646	1015845	200	*	ARPE19_peak_14	48	.	2.88809	7.53115	4.86934	100	Downstream (1-2kb)	1	1007126	1009687	2562	2	401934	uc021oen.1	-5959	ENSG00000237330	RNF223	ring finger protein 223
chr1	1051183	1051771	589	*	ARPE19_peak_16	107	.	3.87387	13.86928	10.77144	400	Promoter	1	1017198	1051736	34539	2	54991	uc001acr.2	0	ENSG00000131591	C1orf159	chromosome 1 open reading frame 159
chr1	1310538	1311003	466	*	ARPE19_peak_23	283	.	5.69423	32.40722	28.38252	191	Promoter	1	1309110	1310562	1453	2	54998	uc009vkb.1	0	ENSG00000175756	AURKAIP1	aurora kinase A interacting protein 1
chr1	1334632	1335051	420	*	ARPE19_peak_24	104	.	3.79859	13.55964	10.47701	283	Promoter	1	1334910	1337426	2517	1	148413	uc001afm.3	0	ENSG00000224870	MRPL20-AS1	MRPL20 antisense RNA 1
chr1	1406921	1407229	309	*	ARPE19_peak_26	85	.	4.23729	11.45303	8.50482	167	Promoter	1	1407164	1431582	24419	1	83858	uc001afv.3	0	ENSG00000160072	ATAD3B	ATPase family AAA domain containing 3B
chr1	1453620	1454160	541	*	ARPE19_peak_30	40	.	3.15934	6.6571	4.09097	344	Intron (uc001afz.2/55210, intron 4 of 15)	1	1447910	1470067	22158	1	55210	uc001agb.2	5710	ENSG00000197785	ATAD3A	ATPase family AAA domain containing 3A
chr1	1550609	1550890	282	*	ARPE19_peak_34	103	.	3.6526	13.44921	10.37249	166	Promoter	1	1550795	1554590	3796	1	142678	uc021oet.1	0	ENSG00000197530	MIB2	mindbomb E3 ubiquitin protein ligase 2
chr1	1981633	1981838	206	*	ARPE19_peak_46	71	.	3.26279	9.95564	7.10832	61	Promoter	1	1981909	2116834	134926	1	5590	uc001aiq.3	-71	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2120990	2121412	423	*	ARPE19_peak_54	92	.	3.5533	12.2844	9.28386	192	3' UTR	1	2115899	2126214	10316	2	199990	uc001aiv.2	4802	ENSG00000162585	FAAP20	FA core complex associated protein 20
chr1	2159037	2159458	422	*	ARPE19_peak_55	159	.	4.3239	19.30113	15.90555	243	Promoter	1	2160134	2241652	81519	1	6497	uc001aja.4	-676	ENSG00000157933	SKI	SKI proto-oncogene
chr1	2457631	2457830	200	*	ARPE19_peak_66	92	.	3.54132	12.23393	9.23655	69	Promoter	1	2439975	2458035	18061	2	55229	uc001ajm.1	205	ENSG00000157881	PANK4	pantothenate kinase 4 (inactive)
chr1	2517778	2518328	551	*	ARPE19_peak_69	298	.	5.21092	33.91971	29.83058	179	Promoter	1	2517899	2522908	5010	1	127281	uc021oew.1	0	ENSG00000157870	PRXL2B	peroxiredoxin like 2B
