seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	1269950	1270124	175	*	Downstream (<1kb)	1	1266726	1269844	3119	1	83756	uc010nyk.2	3224	ENSG00000169962	TAS1R3	taste 1 receptor member 3
chr1	1274525	1274774	250	*	Promoter	1	1270658	1275557	4900	2	1855	uc002quu.3	783	ENSG00000107404	DVL1	dishevelled segment polarity protein 1
chr1	1275050	1275224	175	*	Promoter	1	1270658	1275557	4900	2	1855	uc002quu.3	333	ENSG00000107404	DVL1	dishevelled segment polarity protein 1
chr1	6710175	6710399	225	*	Intron (uc001aof.2/55735, intron 7 of 15)	1	6685210	6695646	10437	1	90326	uc001aoe.2	24965	ENSG00000041988	THAP3	THAP domain containing 3
chr1	7997700	7997899	200	*	Exon (uc001aot.3/3604, exon 6 of 9)	1	7975931	8003225	27295	2	3604	uc001aot.3	5326	ENSG00000049249	TNFRSF9	TNF receptor superfamily member 9
chr1	8391975	8392049	75	*	Intron (uc001apb.3/50651, intron 4 of 7)	1	8390198	8404227	14030	1	50651	uc001apc.3	1777	ENSG00000162426	SLC45A1	solute carrier family 45 member 1
chr1	10513000	10513149	150	*	Distal Intergenic	1	10509776	10512060	2285	1	1325	uc001ari.4	3224	ENSG00000241563	CORT	cortistatin
chr1	11949875	11950049	175	*	Distal Intergenic	1	11917521	11918992	1472	2	4879	uc001atj.3	-30883	ENSG00000120937	NPPB	natriuretic peptide B
chr1	17245250	17245449	200	*	Intron (uc009voy.1/9696, intron 1 of 8)	1	17248445	17299474	51030	1	9696	uc001azt.2	-2996	ENSG00000058453	CROCC	ciliary rootlet coiled-coil, rootletin
chr1	18434000	18434074	75	*	Promoter	1	18434240	18704977	270738	1	84966	uc001bau.2	-166	ENSG00000117154	IGSF21	immunoglobin superfamily member 21
chr1	19590450	19590649	200	*	Downstream (1-2kb)	1	19592476	19600568	8093	2	246181	uc021ohn.1	9919	ENSG00000211454	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)
chr1	27243675	27243899	225	*	Intron (uc021ojq.1/uc021ojq.1, intron 1 of 1)	1	27237975	27240567	2593	2	8431	uc001bnf.3	-3108	ENSG00000131910	NR0B2	nuclear receptor subfamily 0 group B member 2
chr1	27245050	27245274	225	*	Intron (uc021ojq.1/uc021ojq.1, intron 1 of 1)	1	27248213	27273362	25150	1	10726	uc001bng.2	-2939	ENSG00000090273	NUDC	nuclear distribution C, dynein complex regulator
chr1	33110875	33111099	225	*	Intron (uc001bvo.1/339487, intron 1 of 1)	1	33065773	33116185	50413	2	339487	uc001bvo.1	5086	ENSG00000176261	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand
chr1	33114900	33115124	225	*	Intron (uc001bvo.1/339487, intron 1 of 1)	1	33065773	33116185	50413	2	339487	uc001bvo.1	1061	ENSG00000176261	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand
chr1	33124825	33125049	225	*	Intron (uc001bvr.3/5928, intron 3 of 11)	1	33116959	33151812	34854	1	5928	uc010ohk.2	7866	ENSG00000162521	RBBP4	RB binding protein 4, chromatin remodeling factor
chr1	33324625	33324824	200	*	Distal Intergenic	1	33327869	33330398	2530	2	252995	uc001bwe.3	5574	ENSG00000160097	FNDC5	fibronectin type III domain containing 5
chr1	38157650	38157799	150	*	Promoter	1	38151945	38157888	5944	2	54955	uc001cbq.1	89	ENSG00000116922	C1orf109	chromosome 1 open reading frame 109
chr1	39958375	39958524	150	*	Intron (uc001cdi.3/353500, intron 1 of 6)	1	39957318	39995541	38224	1	353500	uc001cdi.3	1057	ENSG00000183682	BMP8A	bone morphogenetic protein 8a
chr1	68248525	68248599	75	*	Intron (uc001dea.2/55970, intron 1 of 3)	1	68297971	68668670	370700	1	100289178	uc001deb.2	-49372	ENSG00000232284	GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1
chr1	68559450	68559674	225	*	Intron (uc001deb.2/100289178, intron 3 of 9)	1	68511645	68516481	4837	2	9077	uc001ded.3	-42969	ENSG00000162595	DIRAS3	DIRAS family GTPase 3
chr1	87203600	87203799	200	*	Intron (uc001dlw.3/51100, intron 7 of 8)	1	87170253	87213867	43615	1	51100	uc001dlz.3	33347	ENSG00000097033	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1
chr1	87564350	87564524	175	*	Intron (uc010osk.2/9653, intron 5 of 6)	1	87595448	87602352	6905	1	339524	uc010osl.2	-30924	ENSG00000267272	LINC01140	long intergenic non-protein coding RNA 1140
chr1	91089675	91089899	225	*	Distal Intergenic	1	91177579	91182794	5216	2	343472	uc001dns.3	92895	ENSG00000143032	BARHL2	BarH like homeobox 2
chr1	106366575	106366674	100	*	Distal Intergenic	1	107599267	107601916	2650	1	55170	uc010ous.2	-1232593	ENSG00000198890	PRMT6	protein arginine methyltransferase 6
chr1	116152000	116152174	175	*	Distal Intergenic	1	116184574	116240845	56272	1	81839	uc001efv.1	-32400	ENSG00000173218	VANGL1	VANGL planar cell polarity protein 1
chr1	145328375	145328549	175	*	Exon (uc021oul.2/100132406, exon 33 of 84)	1	145324348	145353680	29333	1	100132406	uc010oyp.2	4027	ENSG00000271425	NBPF10	NBPF member 10
chr1	149287725	149287749	25	*	3' UTR	1	149279476	149291742	12267	1	388692	uc010pbf.2	8249	NA	LINC02591	long intergenic non-protein coding RNA 2591
chr1	150236000	150236174	175	*	Exon (uc001etx.3/23632, exon 9 of 11)	1	150237799	150241609	3811	2	51107	uc001ety.2	5435	ENSG00000117362	APH1A	aph-1 homolog A, gamma-secretase subunit
chr1	150240875	150241124	250	*	Promoter	1	150237799	150241609	3811	2	51107	uc001ety.2	485	ENSG00000117362	APH1A	aph-1 homolog A, gamma-secretase subunit
chr1	150243325	150243374	50	*	Distal Intergenic	1	150244773	150253335	8563	1	79630	uc001euc.3	-1399	ENSG00000118292	C1orf54	chromosome 1 open reading frame 54
chr1	153965600	153965774	175	*	Intron (uc009woq.3/91181, intron 26 of 27)	1	153963239	153964631	1393	1	6232	uc001fdv.3	2361	ENSG00000177954	RPS27	ribosomal protein S27
chr1	154914525	154914724	200	*	Downstream (1-2kb)	1	154897208	154909484	12277	2	10654	uc001ffq.3	-5041	ENSG00000163344	PMVK	phosphomevalonate kinase
chr1	154925475	154925674	200	*	Intron (uc001ffr.3/57326, intron 2 of 10)	1	154923708	154927803	4096	2	57326	uc009woy.1	2129	ENSG00000163346	PBXIP1	PBX homeobox interacting protein 1
chr1	154925950	154926224	275	*	5' UTR	1	154923708	154927803	4096	2	57326	uc009woy.1	1579	ENSG00000163346	PBXIP1	PBX homeobox interacting protein 1
chr1	156323775	156324099	325	*	Distal Intergenic	1	156338980	156352660	13681	1	57127	uc010phm.2	-14881	ENSG00000132677	RHBG	Rh family B glycoprotein (gene/pseudogene)
chr1	158128000	158128299	300	*	Distal Intergenic	1	158101834	158110430	8597	2	646268	uc001frq.3	-17570	ENSG00000231666	LINC01704	long intergenic non-protein coding RNA 1704
chr1	160000025	160000174	150	*	3' UTR	1	159997462	160001783	4322	2	93183	uc001fuv.1	1609	ENSG00000143315	PIGM	phosphatidylinositol glycan anchor biosynthesis class M
chr1	168164775	168164924	150	*	Intron (uc001gfg.3/261726, intron 4 of 6)	1	168148171	168171351	23181	1	261726	uc001gfg.3	16604	ENSG00000143155	TIPRL	TOR signaling pathway regulator
chr1	182799200	182799299	100	*	3' UTR	1	182808439	182857117	48679	1	1660	uc001gpr.3	-9140	ENSG00000135829	DHX9	DExH-box helicase 9
chr1	200835975	200836174	200	*	Distal Intergenic	1	200842083	200843306	1224	1	2848	uc001gvn.2	-5909	ENSG00000170128	GPR25	G protein-coupled receptor 25
chr1	226200975	226201199	225	*	Distal Intergenic	1	226170403	226187066	16664	2	163859	uc001hpu.4	-13909	ENSG00000143751	SDE2	SDE2 telomere maintenance homolog
chr1	226208375	226208449	75	*	Distal Intergenic	1	226170403	226187066	16664	2	163859	uc001hpu.4	-21309	ENSG00000143751	SDE2	SDE2 telomere maintenance homolog
chr10	5474125	5474299	175	*	Intron (uc001iia.4/10276, intron 3 of 11)	10	5488514	5501019	12506	1	10276	uc001iib.4	-14215	ENSG00000173848	NET1	neuroepithelial cell transforming 1
chr10	5711875	5712099	225	*	Distal Intergenic	10	5680820	5708558	27739	2	79754	uc009xic.2	-3317	ENSG00000196372	ASB13	ankyrin repeat and SOCS box containing 13
chr10	5955525	5955699	175	*	Intron (uc001iir.4/84893, intron 6 of 21)	10	5936349	5979558	43210	1	84893	uc001iit.4	19176	ENSG00000134452	FBH1	F-box DNA helicase 1
chr10	11516475	11516549	75	*	Intron (uc001iks.1/9712, intron 13 of 13)	10	11502509	11574274	71766	2	9712	uc001iks.1	57725	ENSG00000148429	USP6NL	USP6 N-terminal like
chr10	13353725	13353749	25	*	Distal Intergenic	10	13319796	13342130	22335	2	5264	uc001imf.3	-11595	ENSG00000107537	PHYH	phytanoyl-CoA 2-hydroxylase
chr10	18562850	18562924	75	*	Intron (uc001ipr.2/783, intron 2 of 13)	10	18549584	18830688	281105	1	783	uc001ipx.2	13266	ENSG00000165995	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2
chr10	18567925	18568099	175	*	Intron (uc001ipr.2/783, intron 2 of 13)	10	18549584	18830688	281105	1	783	uc001ipx.2	18341	ENSG00000165995	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2
chr10	29633575	29633749	175	*	Distal Intergenic	10	29577990	29600158	22169	1	84569	uc001iul.3	55585	ENSG00000120563	LYZL1	lysozyme like 1
chr10	30327300	30327599	300	*	Intron (uc001iux.3/57608, intron 2 of 3)	10	30301729	30348488	46760	2	57608	uc001iux.3	20889	ENSG00000165757	JCAD	junctional cadherin 5 associated
chr10	30968950	30969174	225	*	Distal Intergenic	10	30900708	30918647	17940	2	119180	uc001ivk.3	-50303	ENSG00000151033	LYZL2	lysozyme like 2
chr10	35356675	35356699	25	*	Intron (uc009xma.3/8453, intron 2 of 21)	10	35297479	35363258	65780	2	8453	uc009xma.3	6559	ENSG00000108094	CUL2	cullin 2
chr10	39122225	39122499	275	*	Distal Intergenic	10	38989727	38991371	1645	1	399746	uc021ppf.1	132498	NA	ACTR3BP5	ACTR3B pseudogene 5
chr10	39126175	39126224	50	*	Distal Intergenic	10	38989727	38991371	1645	1	399746	uc021ppf.1	136448	NA	ACTR3BP5	ACTR3B pseudogene 5
chr10	39127500	39127649	150	*	Distal Intergenic	10	38989727	38991371	1645	1	399746	uc021ppf.1	137773	NA	ACTR3BP5	ACTR3B pseudogene 5
chr10	51721375	51721474	100	*	Intron (uc001jin.3/uc001jin.3, intron 7 of 7)	10	51026325	51729967	703643	2	8505	uc001jih.3	8493	ENSG00000227345	PARG	poly(ADP-ribose) glycohydrolase
chr10	64040475	64040724	250	*	Intron (uc001jly.4/22891, intron 1 of 4)	10	63997909	64028466	30558	2	219790	uc001jlx.2	-12009	ENSG00000182010	RTKN2	rhotekin 2
chr10	75511075	75511249	175	*	Intron (uc010qkn.2/9632, intron 1 of 6)	10	75504131	75531933	27803	1	9632	uc010qkq.2	6944	ENSG00000176986	SEC24C	SEC24 homolog C, COPII coat complex component
chr10	95430300	95430399	100	*	Intron (uc001kiv.2/118924, intron 15 of 15)	10	95448837	95460095	11259	2	118924	uc001kjb.1	29696	ENSG00000148690	FRA10AC1	FRA10A associated CGG repeat 1
chr10	97443775	97444124	350	*	Intron (uc001klb.4/26123, intron 9 of 13)	10	97443279	97453711	10433	2	26123	uc009xux.1	9587	ENSG00000119977	TCTN3	tectonic family member 3
chr10	102761250	102761399	150	*	Promoter	10	102762254	102767593	5340	1	84445	uc001ksm.3	-855	ENSG00000107816	LZTS2	leucine zipper tumor suppressor 2
chr10	102762650	102763124	475	*	Promoter	10	102762254	102767593	5340	1	84445	uc001ksm.3	396	ENSG00000107816	LZTS2	leucine zipper tumor suppressor 2
chr10	102764075	102764324	250	*	Intron (uc001ksj.3/84445, intron 3 of 4)	10	102762254	102767593	5340	1	84445	uc001ksm.3	1821	ENSG00000107816	LZTS2	leucine zipper tumor suppressor 2
chr10	102768750	102768999	250	*	Intron (uc021pxc.1/79955, intron 16 of 16)	10	102762254	102767593	5340	1	84445	uc001ksm.3	6496	ENSG00000107816	LZTS2	leucine zipper tumor suppressor 2
chr10	105435975	105436199	225	*	Intron (uc010qqr.2/9644, intron 1 of 7)	10	105353784	105428432	74649	2	9644	uc010qqs.1	-7543	ENSG00000107957	SH3PXD2A	SH3 and PX domains 2A
chr10	106041150	106041499	350	*	Intron (uc001kyb.3/119391, intron 5 of 6)	10	106034887	106059176	24290	1	119391	uc021pxu.1	6263	ENSG00000065621	GSTO2	glutathione S-transferase omega 2
chr10	106047625	106047749	125	*	Intron (uc001kyb.3/119391, intron 5 of 6)	10	106034887	106059176	24290	1	119391	uc021pxu.1	12738	ENSG00000065621	GSTO2	glutathione S-transferase omega 2
chr10	113887200	113887424	225	*	Distal Intergenic	10	113914758	113943468	28711	2	57678	uc001kzq.1	56044	ENSG00000119927	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial
chr10	113889925	113890199	275	*	Distal Intergenic	10	113914758	113943468	28711	2	57678	uc001kzq.1	53269	ENSG00000119927	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial
chr10	129952300	129952424	125	*	Distal Intergenic	10	129894925	129924468	29544	2	4288	uc001lkf.3	-27832	ENSG00000148773	MKI67	marker of proliferation Ki-67
chr11	830000	830099	100	*	Promoter	11	829297	831991	2695	1	283229	uc001lrw.2	703	ENSG00000177685	CRACR2B	calcium release activated channel regulator 2B
chr11	1630550	1630774	225	*	Promoter	11	1628795	1629693	899	2	387266	uc001ltw.1	-857	ENSG00000196224	KRTAP5-3	keratin associated protein 5-3
chr11	2510575	2510899	325	*	Intron (uc009ydo.1/3784, intron 1 of 2)	11	2482666	2870340	387675	1	3784	uc001lwo.4	27909	ENSG00000053918	KCNQ1	potassium voltage-gated channel subfamily Q member 1
chr11	7121825	7121974	150	*	Distal Intergenic	11	7110165	7112379	2215	1	27288	uc001mfc.2	11660	ENSG00000170748	RBMXL2	RBMX like 2
chr11	8993825	8993999	175	*	Intron (uc031pyy.1/493900, intron 4 of 4)	11	8968840	8986481	17642	2	56674	uc010rbt.1	-7344	ENSG00000175348	TMEM9B	TMEM9 domain family member B
chr11	9591325	9591599	275	*	Distal Intergenic	11	9595228	9611313	16086	1	7465	uc001mhs.3	-3629	ENSG00000166483	WEE1	WEE1 G2 checkpoint kinase
chr11	9592250	9592449	200	*	Distal Intergenic	11	9595228	9611313	16086	1	7465	uc001mhs.3	-2779	ENSG00000166483	WEE1	WEE1 G2 checkpoint kinase
chr11	13444175	13444274	100	*	Intron (uc010rcl.2/84280, intron 1 of 7)	11	13426876	13461755	34880	2	84280	uc010rcn.2	17481	ENSG00000148925	BTBD10	BTB domain containing 10
chr11	15797850	15798074	225	*	Distal Intergenic	11	15987995	16424413	436419	2	55553	uc001mmd.3	626339	ENSG00000110693	SOX6	SRY-box transcription factor 6
chr11	15805100	15805249	150	*	Distal Intergenic	11	15987995	16424413	436419	2	55553	uc001mmd.3	619164	ENSG00000110693	SOX6	SRY-box transcription factor 6
chr11	20110600	20110824	225	*	Intron (uc001mpp.3/89797, intron 26 of 37)	11	20125757	20143147	17391	1	89797	uc001mpv.3	-14933	ENSG00000166833	NAV2	neuron navigator 2
