seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr15	45405861	45406090	230	*	.	538	.	3.23425	-1	0.20216	115	Promoter	15	45384852	45406359	21508	2	50506	uc001zun.3	269	ENSG00000140279	DUOX2	dual oxidase 2
chr4	152688131	152688360	230	*	.	1000	.	3.4009	-1	0.20655	115	Distal Intergenic	4	152624331	152682175	57845	2	5188	uc003imm.4	-5956	ENSG00000059691	GATB	glutamyl-tRNA amidotransferase subunit B
chr19	5163992	5164221	230	*	.	666	.	3.63953	-1	0.27588	115	Intron (uc002mbu.1/5802, intron 30 of 30)	19	5070629	5153608	82980	1	23030	uc002mbr.4	93363	ENSG00000127663	KDM4B	lysine demethylase 4B
chr11	126153020	126153249	230	*	.	754	.	3.98259	-1	0.26339	115	Promoter	11	126152982	126164828	11847	1	114609	uc001qdo.1	38	ENSG00000150455	TIRAP	TIR domain containing adaptor protein
chr6	130634353	130634582	230	*	.	578	.	7.15176	-1	1.48261	115	Intron (uc003qbx.4/154075, intron 1 of 13)	6	130465447	130686570	221124	2	154075	uc003qbx.4	51988	ENSG00000164483	SAMD3	sterile alpha motif domain containing 3
chr17	40118013	40118242	230	*	.	632	.	7.36735	-1	1.54763	115	Promoter	17	40118759	40129754	10996	1	1267	uc002hyl.1	-517	ENSG00000173786	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase
chr1	156631079	156631308	230	*	.	551	.	8.25217	-1	1.93519	115	Distal Intergenic	1	156638556	156647189	8634	2	10763	uc001fpq.3	15881	ENSG00000132688	NES	nestin
chr16	7443649	7443878	230	*	.	759	.	8.56822	-1	2.05038	115	Intron (uc002cyr.1/54715, intron 4 of 11)	16	7382751	7763340	380590	1	54715	uc010uyc.1	60898	ENSG00000078328	RBFOX1	RNA binding fox-1 homolog 1
chr11	126152807	126153036	230	*	.	754	.	8.93544	-1	2.19686	115	Promoter	11	126152982	126163071	10090	1	114609	uc001qdl.1	0	ENSG00000150455	TIRAP	TIR domain containing adaptor protein
chr16	67278713	67278942	230	*	.	675	.	9.09694	-1	2.28077	115	Intron (uc002esl.3/29109, intron 1 of 21)	16	67263292	67281425	18134	2	29109	uc002esl.3	2483	ENSG00000135723	FHOD1	formin homology 2 domain containing 1
